"","codp","cods","tipc","tip","um","fum","ecran","per","denumire"
"62",113,11401,1,1,"    KG"," ","A4","3","CARTOFI TIMPURII SI DE VARA  "
"63",113,11402,1,1,"    KG"," ","A4","3","CARTOFI DE TOAMNA  "
"64",113,11501,1,1,"    KG"," ","A4","3","MORCOVI  "
"65",113,11602,1,1,"    KG"," ","A4","3","RIDICHI DE IARNA  "
"66",113,11603,1,1,"    KG"," ","A4","3","SFECLA ROSIE  "
"67",113,11701,1,1,"    KG"," ","A4","3","TOMATE (ROSII) DE CIMP  "
"68",113,11702,1,1,"    KG"," ","A4","3","TOMATE (ROSII) DE SERA SI  SOLARII "
"69",113,11801,1,1,"    KG"," ","A4","3","PATLAGELE VINETE, DE CIMP  "
"70",113,11802,1,1,"    KG"," ","A4","3","PATLAGELE VINETE, DE SERA SI  SOLARII "
"71",113,11901,1,1,"    KG"," ","A4","3","CEAPA USCATA  "
"72",113,12101,1,1,"    KG"," ","A4","3","ARDEI GRAS, DE CIMP  "
"73",113,12102,1,1,"    KG"," ","A4","3","ARDEI GRAS, DE SERA SI SOLARII  "
"74",113,12301,1,1,"    KG"," ","A4","3","VARZA ALBA DULCE, DE TOAMNA  "
"75",113,12302,1,1,"    KG"," ","A4","3","VARZA ALBA DULCE, TIMPURIE SI  DE VARA "
"76",113,12501,1,1,"    KG"," ","A4","3","CASTRAVETI PROASPETI, DE CIMP  "
"77",113,12502,1,1,"    KG"," ","A4","3","CASTRAVETI PROASPETI, DE SERA  SI SOLARII "
"78",113,12504,1,1,"    KG"," ","A4","3","DOVLECEI  "
"79",113,12511,1,NA,"    KG"," ","A4","3","CIUPERCI CHAMPIGNON"" (DE""  CULTURA) "
"80",113,12512,1,1,"  BUCATA"," ","A4","3","SALATA VERDE, DE CIMP  "
"81",113,12513,1,1,"  BUCATA"," ","A4","3","SALATA VERDE, DE SERA SI  SOLARII "
"82",113,12514,1,NA,"   CUTIE","2","A3","3","FULGI DE CARTOFI - INDIGENI  (CUTIE CARTON CCA. 100 G) "
"83",113,12515,1,NA,"   CUTIE","2","A3","3","FULGI DE FASOLE - INDIGENI  (CUTIE CARTON CCA. 100 G) "
"84",113,12516,1,NA,"   PUNGA","2","A3","3","AMESTEC DE LEGUME CONGELATE  (GREENS, DUJARDIN) - PUNGA  CCA. 450 G"
"85",126,NA,1,NA,""," ","","3","MURATURI SI VARZA ACRA  "
"86",126,12603,1,NA,"  BORCAN","2","A3","3","CASTRAVETI IN OTET - INDIGENI  (BORCAN DE CCA. 720 ML) "
"87",126,12604,1,NA,"  BORCAN","2","A3","3","GOGOSARI ROSII - INDIGENI  (BORCAN DE CCA. 720 ML) "
"88",127,NA,1,NA,""," ","","3","BULION  "
"89",127,12701,1,NA,"  BORCAN","1","A3","3","PASTA DE TOMATE - INDIGENA  (BORCAN DE 314-420 ML) "
"90",127,12702,1,NA,"  BORCAN","1","A3","3","BULION - INDIGEN (BORCAN DE  314-420 ML) "
"91",127,12703,1,NA,"  BORCAN","2","A3","3","TOMATE (ROSII INTREGI) IN  BULION - INDIGENE (BORCAN DE  CCA. 720 ML)"
"92",127,12709,1,NA," RECIPIENT","2","A3","3","SOS TOMAT (KETCHUP) PENTRU  GARNITURI - TIP TOMI TOPWAY""""  (RECIPIENT PLASTIC DE 350 G)"
"93",127,12710,1,NA,"   CUTIE","2","A3","3","SUC DE ROSII (CUTIE CARTON) -  1000 ML "
"94",128,NA,1,NA,""," ","","3","CONSERVE DE LEGUME  "
"95",128,12801,1,NA,"  BORCAN","2","A3","3","MAZARE VERDE (BORCAN DE CCA.  720 ML) "
"96",128,12802,1,NA,"  BORCAN","2","A3","3","FASOLE PASTAI, TAIATA (BORCAN  DE CCA. 720 ML) "
"97",128,12803,1,NA,"  BORCAN","2","A3","3","GHIVECI (BORCAN DE CCA.720 ML)  "
"98",128,12804,1,NA,"  BORCAN","1","A3","3","TOCANA DE LEGUME (BORCAN DE  300-370 ML) "
"99",128,12807,1,NA,"   CUTIE","2","A3","3","CIUPERCI TIP CHAMPIGNON (CUTIE  METALICA 400 G) "
