nume,pret,sortimente,Date,RobotName,RobotVersion,Sortiment,Post cheltuieli
Coriandru proaspat 30g,5.49 Lei/buc 183.00 kilogram,Salate si verdeturi,20170803,cora,v1,,
Rozmarin in ghiveci,9.99 Lei/buc,Salate si verdeturi,20170803,cora,v1,,
Cimbru 30g,5.49 Lei/buc 183.00 kilogram,Salate si verdeturi,20170803,cora,v1,,
Chives 30g,5.49 Lei/buc 183.00 kilogram,Salate si verdeturi,20170803,cora,v1,,
Salvie 30g,5.49 Lei/buc 183.00 kilogram,Salate si verdeturi,20170803,cora,v1,,
Cimbru ghiveci,9.99 Lei/buc,Salate si verdeturi,20170803,cora,v1,,
Oregano proaspat 30g,5.49 Lei/buc 183.00 kilogram,Salate si verdeturi,20170803,cora,v1,,
Tarhon 30g,5.49 Lei/buc 183.00 kilogram,Salate si verdeturi,20170803,cora,v1,,
cora carne tocata spata de porc,16.49 Lei/kilogram,Carne,20170803,cora,v1,,
Pulpa de Pui cu Spate Durdulan,8.42 Lei/kilogram,Carne,20170803,cora,v1,16104,161
Fragedo ficat pui,14.06 Lei/kilogram,Carne,20170803,cora,v1,16106,161
Carne Tocata de Porc cora,11.69 Lei/kilogram,Carne,20170803,cora,v1,15915,159
Fragedo piept pui dezosat feliat,23.73 Lei/kilogram,Carne,20170803,cora,v1,,
Fragedo piept pui dezosat,21.97 Lei/kilogram,Carne,20170803,cora,v1,16110,161
Piept de Pui Dezosat fara piele Durdulan,16.99 Lei/kilogram,Carne,20170803,cora,v1,,
Fragedo pipote si inimi,13.18 Lei/kilogram,Carne,20170803,cora,v1,16107,161
cora amestec carne tocata porc si vita,13.99 Lei/kilogram,Carne,20170803,cora,v1,15915,159
cora Cotlet De Porc Fara Os,20.99 Lei/kilogram,Carne,20170803,cora,v1,15916,159
Agricola puiul fericit spinari si spate de pui,6.99 Lei/kilogram,Carne,20170803,cora,v1,,
Durdulan pulpe de pui inferioare,9.99 Lei/kilogram,Carne,20170803,cora,v1,,
Fragedo Transavia aripioare de pui fara varf,13.18 Lei/kilogram,Carne,20170803,cora,v1,16109,161
Fragedo pulpe de pui inferioare,14.50 Lei/kilogram,Carne,20170803,cora,v1,,
Mici de Vita si Oaie cora,13.49 Lei/kilogram,Carne,20170803,cora,v1,,
Fragedo mini fileuri din piept de pui dezosat,23.73 Lei/kilogram,Carne,20170803,cora,v1,,
cora Piept De Porc Feliat Cu Os Si Sorici,14.99 Lei/kilogram,Carne,20170803,cora,v1,,
cora piept porc feliat cu os si sorici,16.49 Lei/kilogram,Carne,20170803,cora,v1,,
Carne de porc pentru snitel,18.99 Lei/kilogram,Carne,20170803,cora,v1,15901,159
Fragedo pulpe de pui dezosate fara piele,18.89 Lei/kilogram,Carne,20170803,cora,v1,,
Chipotalas de Porc cora,17.49 Lei/kilogram,Carne,20170803,cora,v1,,
cora pulpa porc fara os,16.99 Lei/kilogram,Carne,20170803,cora,v1,15901,159
Fragedo carne tocata din pulpa de pui dezosata,17.57 Lei/kilogram,Carne,20170803,cora,v1,,
